dataset,convention,label,support,n_pred,tp,fp,fn,precision,recall,f1,ci_lo,ci_hi
val,strict,name,125,123,120.0,3.0,5.0,0.975609756097561,0.96,0.9677419354838709,0.9352349895784308,0.9952175573376463
val,strict,drug_name,235,237,235.0,2.0,0.0,0.9915611814345991,1.0,0.9957627118644067,0.989384288747346,1.0
val,strict,drug_amount,150,143,141.0,2.0,9.0,0.986013986013986,0.94,0.962457337883959,0.9256085905436555,0.9930579337899543
val,strict,medical_condition,271,279,258.0,21.0,13.0,0.9247311827956989,0.9520295202952029,0.9381818181818181,0.8948260415800801,0.9727654604175315
val,strict,date,266,267,254.0,13.0,12.0,0.951310861423221,0.9548872180451128,0.9530956848030019,0.9333273056057865,0.9735459718478587
val,strict,MICRO,1047,1049,1008.0,41.0,39.0,0.9609151572926596,0.9627507163323782,0.9618320610687022,0.9482897804409905,0.9753816324064705
val,strict,MACRO,1047,1049,,,,0.9658453935530134,0.9613833476680631,0.9634478976434113,,
val,lenient,name,125,123,123.0,0.0,2.0,1.0,0.984,0.9919354838709677,,
val,lenient,drug_name,235,237,235.0,2.0,0.0,0.9915611814345991,1.0,0.9957627118644067,,
val,lenient,drug_amount,150,143,143.0,0.0,7.0,1.0,0.9533333333333334,0.9761092150170648,,
val,lenient,medical_condition,271,279,264.0,15.0,7.0,0.946236559139785,0.974169741697417,0.96,,
val,lenient,date,266,267,259.0,8.0,7.0,0.9700374531835206,0.9736842105263158,0.9718574108818012,,
val,lenient,MICRO,1047,1049,1024.0,25.0,23.0,0.9761677788369876,0.9780324737344794,0.9770992366412213,,
val,lenient,MACRO,1047,1049,,,,0.981567038751581,0.9770374571114132,0.9791329643268482,,
prospect_test_a,strict,name,64,55,52.0,3.0,12.0,0.9454545454545454,0.8125,0.8739495798319329,0.7665909090909091,0.9473684210526315
prospect_test_a,strict,drug_name,631,630,614.0,16.0,17.0,0.9746031746031746,0.9730586370839936,0.9738302934179223,0.958296632000372,0.9865208486745213
prospect_test_a,strict,drug_amount,356,33,18.0,15.0,338.0,0.5454545454545454,0.05056179775280899,0.09254498714652956,0.04092071611253197,0.1428659611992945
prospect_test_a,strict,medical_condition,481,489,459.0,30.0,22.0,0.9386503067484663,0.9542619542619543,0.9463917525773196,0.9284366226473952,0.9627407167458865
prospect_test_a,strict,date,0,808,0.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_test_a,strict,MICRO,1532,2015,1143.0,872.0,389.0,0.5672456575682382,0.7460835509138382,0.6444882999718071,0.626093005676061,0.663677130044843
prospect_test_a,strict,MACRO,1532,2015,,,,0.6808325144521463,0.5580764778197513,0.5773433225947409,,
prospect_test_a,lenient,name,64,55,52.0,3.0,12.0,0.9454545454545454,0.8125,0.8739495798319329,,
prospect_test_a,lenient,drug_name,631,630,624.0,6.0,7.0,0.9904761904761905,0.9889064976228209,0.9896907216494846,,
prospect_test_a,lenient,drug_amount,356,33,28.0,5.0,328.0,0.8484848484848485,0.07865168539325842,0.14395886889460155,,
prospect_test_a,lenient,medical_condition,481,489,470.0,19.0,11.0,0.9611451942740287,0.9771309771309772,0.9690721649484536,,
prospect_test_a,lenient,date,0,808,0.0,808.0,0.0,0.0,0.0,0.0,,
prospect_test_a,lenient,MICRO,1532,2015,1174.0,841.0,358.0,0.5826302729528536,0.7663185378590078,0.6619678601635185,,
prospect_test_a,lenient,MACRO,1532,2015,,,,0.7491121557379226,0.5714378320294113,0.5953342670648946,,
prospect_test_b,strict,name,169,171,165.0,6.0,4.0,0.9649122807017544,0.9763313609467456,0.9705882352941176,0.9360410707623431,1.0
prospect_test_b,strict,drug_name,136,134,131.0,3.0,5.0,0.9776119402985075,0.9632352941176471,0.9703703703703703,0.9363213483146067,0.9930567528735632
prospect_test_b,strict,drug_amount,86,85,85.0,0.0,1.0,1.0,0.9883720930232558,0.9941520467836257,0.9811320754716981,1.0
prospect_test_b,strict,medical_condition,275,277,265.0,12.0,10.0,0.9566787003610109,0.9636363636363636,0.9601449275362319,0.9272011261575689,0.9855539169385356
prospect_test_b,strict,date,80,141,77.0,64.0,3.0,0.5460992907801419,0.9625,0.6968325791855203,0.6363541270445037,0.7570093457943925
prospect_test_b,strict,MICRO,746,808,723.0,85.0,23.0,0.8948019801980198,0.9691689008042895,0.9305019305019304,0.9116799301242237,0.9467758972638172
prospect_test_b,strict,MACRO,746,808,,,,0.8890604424282829,0.9708150223448024,0.9184176318339732,,
prospect_test_b,lenient,name,169,171,169.0,2.0,0.0,0.9883040935672515,1.0,0.9941176470588234,,
prospect_test_b,lenient,drug_name,136,134,132.0,2.0,4.0,0.9850746268656716,0.9705882352941176,0.9777777777777777,,
prospect_test_b,lenient,drug_amount,86,85,85.0,0.0,1.0,1.0,0.9883720930232558,0.9941520467836257,,
prospect_test_b,lenient,medical_condition,275,277,267.0,10.0,8.0,0.9638989169675091,0.9709090909090909,0.967391304347826,,
prospect_test_b,lenient,date,80,141,78.0,63.0,2.0,0.5531914893617021,0.975,0.7058823529411764,,
prospect_test_b,lenient,MICRO,746,808,731.0,77.0,15.0,0.9047029702970297,0.9798927613941019,0.9407979407979408,,
prospect_test_b,lenient,MACRO,746,808,,,,0.8980938253524269,0.9809738838452928,0.9278642257818459,,
