age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
32,Private,176486,Some-college,7,Never-married,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
41,Private,36218,HS-grad,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
60,Local-gov,168981,Bachelors,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
38,Private,206298,HS-grad,11,Never-married,Tech-support,Husband,White,Female,0,0,40,United-States,<=50K
29,Self-emp-not-inc,166290,Bachelors,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,51,United-States,<=50K
37,Private,189107,HS-grad,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,,>50K
50,Private,148606,Masters,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,21,United-States,<=50K
37,Local-gov,216473,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States,>50K
53,Private,157466,9th,10,Never-married,,Not-in-family,Asian-Pac-Islander,Female,2174,0,45,United-States,<=50K
50,,122066,Assoc-voc,12,Never-married,,Not-in-family,White,Male,0,0,55,United-States,<=50K
23,,139347,HS-grad,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,10,United-States,<=50K
39,Private,115360,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,53,United-States,<=50K
29,Private,162604,Prof-school,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
46,,32212,Masters,9,Divorced,Adm-clerical,Husband,White,Male,0,0,60,United-States,<=50K
30,,213887,Some-college,6,Divorced,Sales,Husband,White,Male,0,0,40,United-States,>50K
35,Private,370057,Some-college,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
69,Private,211360,Prof-school,10,Never-married,Handlers-cleaners,Husband,White,Male,0,0,30,United-States,<=50K
20,Private,30101,Some-college,9,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
69,Private,99185,11th,12,Never-married,,Husband,White,Male,0,0,48,United-States,<=50K
28,State-gov,132728,Masters,13,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,50,United-States,<=50K
44,Private,237903,11th,15,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
38,Private,216414,Bachelors,10,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,<=50K
35,Private,159737,Some-college,13,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,167523,Some-college,9,Never-married,Sales,Unmarried,Black,Male,0,0,90,United-States,<=50K
54,Private,103345,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29,Local-gov,34186,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
32,Private,293324,HS-grad,9,Never-married,Protective-serv,Husband,White,Female,0,0,50,United-States,<=50K
47,Private,118303,Bachelors,9,Never-married,,Wife,White,Male,0,0,38,United-States,<=50K
24,Private,208875,Some-college,13,Never-married,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
47,Private,60331,Masters,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,169203,Doctorate,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
31,State-gov,176185,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Self-emp-inc,195262,9th,13,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,50,United-States,<=50K
30,Self-emp-inc,120902,Some-college,12,Separated,Other-service,Not-in-family,White,Male,0,1887,50,United-States,<=50K
47,Private,26892,11th,9,Never-married,Craft-repair,Husband,White,Female,15024,0,40,United-States,<=50K
25,Private,240988,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,>50K
34,Private,280927,HS-grad,14,Divorced,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
66,Private,171111,HS-grad,9,Divorced,Prof-specialty,Own-child,Black,Female,0,0,40,United-States,<=50K
21,Private,163985,HS-grad,14,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,>50K
42,Private,35576,HS-grad,9,Married-civ-spouse,,Not-in-family,White,Male,0,0,48,United-States,<=50K
23,Private,298871,Doctorate,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,United-States,<=50K
70,Private,121993,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,5,United-States,<=50K
34,Private,93056,Bachelors,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,15,United-States,<=50K
36,Private,251292,Some-college,4,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,50,United-States,<=50K
49,State-gov,357954,HS-grad,13,Married-civ-spouse,Sales,Unmarried,White,Female,0,1669,40,United-States,<=50K
29,Private,227615,HS-grad,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
22,Private,193494,HS-grad,6,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,123464,10th,7,Never-married,Exec-managerial,Husband,White,Male,0,0,40,,<=50K
33,Private,123992,Some-college,9,Never-married,Prof-specialty,Husband,White,Female,0,0,40,Mexico,<=50K
44,,222635,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Private,148738,Bachelors,13,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,40,United-States,>50K
36,Private,188767,Masters,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,36,United-States,<=50K
49,Private,151504,Assoc-voc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,205839,Bachelors,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,45,United-States,<=50K
22,Private,242589,Prof-school,9,Never-married,Exec-managerial,Other-relative,White,Female,0,0,50,United-States,>50K
34,Private,456236,Bachelors,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,50,Mexico,<=50K
32,Private,37302,Assoc-acdm,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,50,United-States,<=50K
52,Private,335605,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,2002,40,United-States,<=50K
51,Private,282023,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
58,Private,102320,Assoc-voc,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
57,State-gov,41385,Bachelors,15,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
38,Local-gov,116391,Masters,10,Married-civ-spouse,Other-service,Wife,White,Male,0,0,55,United-States,<=50K
28,Private,183575,Bachelors,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Self-emp-inc,330087,Prof-school,7,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
